business_id,business_name,general_category,latitude,longitude,street,zone_type,status
68,Nene's Sari Sari Store,Retail,14.83351,120.95901,Maligaya St.,Residential,Active
69,Gil's chicharon,Retail,14.83337,120.95481,Provincial Road,Commercial,Active
70,Three Grace's Store,Retail,14.83523,120.9553,Provincial Road,Commercial,Active
71,Jumpin Beans Caf�,Food & Beverages,14.4027,120.95633,Provincial Road,Commercial,Active
72,GC Rattan Outdoor Merchandising / Trading Bulacan,Merchandising / Trading,14.84005,120.95715,Provincial Road,Commercial,Active
73,Sautter's Food & Beverages,Food & Beverages,14.8409,120.9513,Sonoma Residences,Residential,Active
74,Magnus 1 Pet Supplies,Retail,14.84064,120.94993,Sonoma Residences,Residential,Active
75,Coffee Break - Sonoma,Food & Beverages,14.84311,120.95093,Sonoma Residences,Residential,Active
76,RV Sari-sari Store,Retail,14.84365,120.95053,Sonoma Residences,Residential,Active
77,One Stop Barber Salon & Spa,Services,14.84029,120.9497,Sonoma Residences,Residential,Active
78,Ka Jenny Sari Sari Store,Retail,14.83874,120.95673,Provincial Road,Residential,Active
79,Brew & Buff,Food & Beverages,14.8382,120.95609,Provincial Road,Commercial,Active
80,AutoFix Garage,Services,14.84164,120.95592,Provincial Road,Residential,Active
81,NorthCo Petroleum,Services,14.83637,120.95636,Provincial Road,Commercial,Active
82,LMS Hardware - AAL hardware,Merchandise / Trading,14.84186,120.95731,Provincial Road,Commercial,Active
83,Oiland Sta Cruz Sta Maria,Services,14.84042,120.95642,Provincial Road,Commercial,Active
84,AM'S FOOD CORNER,Restaurant,14.84279,120.9567,Provincial Road,Residential,Active
85,JDS BUILDERS SUPPLY,Merchandise / Trading,14.84327,120.95683,Provincial Road,Commercial,Active
86,3TEN FCLS Variety Store,Retail,14.84277,120.9568,Provincial Road,Commercial,Active
87,Jetti - Sta.Cruz,Services,14.84302,120.95673,Provincial Road,Commercial,Active
88,Raquels Salon,Services,14.83797,120.96051,Bukid St.,Residential,Active
89,Jeshtine Printing,Services,14.83797,120.96263,Bukid St.,Residential,Active
90,EVELYN EATERY,Retail,14.83671,120.95621,Provincial Road,Residential,Active
91,Ell's Printing Shop & Arcade Games,Services,14.83695,120.9559,Provincial Road,Residential,Active
92,Mang Ambo�s Lechon Manok,Retail,14.83704,120.95586,Provincial Road,Residential,Active
93,JMDR Services Branch 3,Services,14.8372,120.95591,Provincial Road,Commercial,Active
94,Ellan Boy Eatery,Restaurant,14.83767,120.95583,Provincial Road,Commercial,Active
95,J&D Bigasan,Retail,14.83522,120.95531,Provincial Road,Commercial,Active
96,Tako Alley,Restaurant,14.84097,120.94924,Sonoma Residences,Residential,Active
97,Jar and Faith Water Refilling Station,Services,14.8001,120.95109,Sonoma Residences,Residential,Active
98,St. Lorenz General Merchandize,Merchandise / Trading,14.84332,120.95729,Provincial Road,Residential,Active
99,R,Retail,14.83919,120.96282,Bukid St.,Residential,Active
100,tiptop foods opc,Retail,14.832,120.96322,Bukid St.,Residential,Active
